,accessVLANId,connectedInterfaceId,connectedInterfaceName,connectedNetworkDeviceId,connectedNetworkDeviceIpAddress,connectedNetworkDeviceName,hostIp,hostMac,hostType,id,lastUpdated,source,subType,vlanId
22,1,cc1fb156-b53b-4b35-8456-bc9b9e88efde,GigabitEthernet1/0/24,3f7b4103-9c5d-4fb8-937d-f837dee52b14,10.93.130.23,PDX-3850-CAMPUS,10.93.130.95,64:12:25:36:ae:fe,wired,a749e551-1ebe-4aef-bb1f-d8858bb2f2f8,1522656086006,200,UNKNOWN,130
23,1,cc1fb156-b53b-4b35-8456-bc9b9e88efde,GigabitEthernet1/0/24,3f7b4103-9c5d-4fb8-937d-f837dee52b14,10.93.130.23,PDX-3850-CAMPUS,10.93.130.66,70:1f:53:b6:24:08,wired,76c352e4-9c22-4df8-a103-b02042213b73,1522656086006,200,UNKNOWN,130
24,1,cc1fb156-b53b-4b35-8456-bc9b9e88efde,GigabitEthernet1/0/24,3f7b4103-9c5d-4fb8-937d-f837dee52b14,10.93.130.23,PDX-3850-CAMPUS,10.93.130.67,84:3d:c6:df:59:c0,wired,06bdb65c-7e81-47f2-a61d-fcf07dc057f0,1522656086006,200,UNKNOWN,130
25,1,cc1fb156-b53b-4b35-8456-bc9b9e88efde,GigabitEthernet1/0/24,3f7b4103-9c5d-4fb8-937d-f837dee52b14,10.93.130.23,PDX-3850-CAMPUS,10.93.130.181,ac:1f:6b:09:c6:31,wired,6a8ad3ba-e6d8-4a62-9520-f5f1e986b0f4,1522656086006,200,UNKNOWN,130
26,1,cc1fb156-b53b-4b35-8456-bc9b9e88efde,GigabitEthernet1/0/24,3f7b4103-9c5d-4fb8-937d-f837dee52b14,10.93.130.23,PDX-3850-CAMPUS,10.93.130.90,b0:fa:eb:97:d0:4a,wired,2d410ebf-9ffa-4b7d-b3d0-f8cb6ad07211,1522656086006,200,UNKNOWN,130
27,1,64c7b265-c55b-4c10-955d-ce075f1d0c28,GigabitEthernet1/0/11,91c645cf-da9d-40b6-9ef3-f2c857426ff8,10.93.130.46,PDX-3850,10.93.130.31,b8:38:61:d7:00:dd,wired,a3715269-ba15-45ee-b411-6d960a85a603,1522656834334,200,UNKNOWN,130
28,130,79632401-7a3c-4a4a-822e-b226232f34e6,GigabitEthernet1/0/23,75e6b7f2-100b-4422-b768-065e947c6e50,10.93.130.248,LKO2-RU6-R10-TOR3650,10.93.130.31,b8:38:61:d7:00:de,wired,cd68f0ed-dc5a-42ed-a841-d0440c8512de,1522656636454,200,UNKNOWN,130
29,1,64c7b265-c55b-4c10-955d-ce075f1d0c28,GigabitEthernet1/0/11,91c645cf-da9d-40b6-9ef3-f2c857426ff8,10.93.130.46,PDX-3850,10.93.130.32,b8:38:61:d7:00:e0,wired,92bcd364-62c0-4cea-87ce-6290e4458752,1522656834334,200,UNKNOWN,130
30,1,cc1fb156-b53b-4b35-8456-bc9b9e88efde,GigabitEthernet1/0/24,3f7b4103-9c5d-4fb8-937d-f837dee52b14,10.93.130.23,PDX-3850-CAMPUS,10.93.130.14,d0:72:dc:c5:7e:00,wired,4363a632-e89c-42b3-81a5-eff2e484ef11,1522656086006,200,UNKNOWN,130
31,1,cc1fb156-b53b-4b35-8456-bc9b9e88efde,GigabitEthernet1/0/24,3f7b4103-9c5d-4fb8-937d-f837dee52b14,10.93.130.23,PDX-3850-CAMPUS,10.93.130.253,d8:b1:90:3a:cd:00,wired,97e22985-ef93-4561-8935-3f716dccfdea,1522656086006,200,UNKNOWN,130
32,1,cc1fb156-b53b-4b35-8456-bc9b9e88efde,GigabitEthernet1/0/24,3f7b4103-9c5d-4fb8-937d-f837dee52b14,10.93.130.23,PDX-3850-CAMPUS,10.93.130.252,d8:b1:90:3a:cd:7e,wired,6406c5a2-c518-4b21-b5a6-85a7144f6a7a,1522656086006,200,UNKNOWN,130
33,1,cc1fb156-b53b-4b35-8456-bc9b9e88efde,GigabitEthernet1/0/24,3f7b4103-9c5d-4fb8-937d-f837dee52b14,10.93.130.23,PDX-3850-CAMPUS,10.93.130.109,e4:aa:5d:9a:06:e5,wired,b552e562-19b5-4e2d-9a83-b7e2af8c1363,1522656086006,200,UNKNOWN,130
34,1,cc1fb156-b53b-4b35-8456-bc9b9e88efde,GigabitEthernet1/0/24,3f7b4103-9c5d-4fb8-937d-f837dee52b14,10.93.130.23,PDX-3850-CAMPUS,10.93.130.108,e4:aa:5d:9a:54:cf,wired,83ad4eeb-e1f0-4186-8764-270c9cdac6d0,1522656086006,200,UNKNOWN,130
35,200,0bba6adc-7f66-4373-8938-aa3ff911ed13,GigabitEthernet1/0/47,84996e96-1431-4e09-a53d-5b29cbd4791f,172.28.97.155,CAMPUS-Access1,10.1.12.20,e8:9a:8f:7a:22:99,wired,18a57ed2-b742-459d-8e52-9a9f67f3d955,1522656327671,200,UNKNOWN,200
36,1,cc1fb156-b53b-4b35-8456-bc9b9e88efde,GigabitEthernet1/0/24,3f7b4103-9c5d-4fb8-937d-f837dee52b14,10.93.130.23,PDX-3850-CAMPUS,10.93.130.80,f4:4d:30:6c:db:38,wired,d5fc6a7e-9c20-41a5-841e-0585b430b40c,1522656086006,200,UNKNOWN,130
37,1,cc1fb156-b53b-4b35-8456-bc9b9e88efde,GigabitEthernet1/0/24,3f7b4103-9c5d-4fb8-937d-f837dee52b14,10.93.130.23,PDX-3850-CAMPUS,10.93.130.96,f8:c2:88:1a:d5:d7,wired,7d824a42-c50e-48d1-a75f-ab46989d1d70,1522656086006,200,UNKNOWN,130
38,1,cc1fb156-b53b-4b35-8456-bc9b9e88efde,GigabitEthernet1/0/24,3f7b4103-9c5d-4fb8-937d-f837dee52b14,10.93.130.23,PDX-3850-CAMPUS,10.93.130.249,fc:5b:39:4f:6b:4f,wired,e504e077-a9fe-4a9e-9f09-16631ef6f32f,1522656086006,200,UNKNOWN,130
